name,count,category
1260이베리코흑돼지 강남직영점,1,"육류,고기"
24시와구아구,1,"해물,생선"
60년전통 신촌황소곱창 선릉직영점,1,"곱창,막창"
7%칠백식당 포스코직영점,1,"육류,고기"
705사케집 선릉점,1,술집
88노가리 선릉본점,1,술집
CSI VR방탈출카페 대치선릉점,1,카페
JVL부대찌개 포스코점,1,"찌개,전골"
가나돈까스의집,2,"돈까스,우동"
가연,2,국수
갈맛집,1,갈비
갈비삼대참숯구이전문 강남역삼점,1,갈비
강남면옥 대치점,1,냉면
강남묵호등대,1,회
강남본가가마골,1,"육류,고기"
강남샤오츠,1,중식
강남수랏간,3,"육류,고기"
강정희간장새우,1,"해물,생선"
개그맨정용국의용곱창,1,"곱창,막창"
겐비이자카야,2,술집
경천애인2237,3,"육류,고기"
경평면옥,1,냉면
고갯마루,1,닭요리
고기고샵 삼성역점,1,"육류,고기"
고메고매 선릉직영점,1,"육류,고기"
고메램 삼성점,1,"육류,고기"
고메홈,4,한식
고반식당 삼성점,1,"육류,고기"
고반식당 선릉점,2,"육류,고기"
고운님한우곱창,2,"곱창,막창"
곰바위,1,"곱창,막창"
곰작골나주곰탕 선릉점,2,보양식
광수사,2,일식
광주식당,3,한식
교대이층집 삼성점,1,"육류,고기"
교대이층집 선릉점,1,"육류,고기"
교동전선생 선릉역점,1,술집
구을가,1,"육류,고기"
구이마마 대치점,1,"육류,고기"
국고집,2,"육류,고기"
군자대한곱창 선릉점,2,"곱창,막창"
그란구스또,1,이탈리아음식
그릴1492 삼성1호점,2,"육류,고기"
금복당,1,술집
금수복국 대치점,1,보양식
기네스하우스,1,술집
기세끼 선릉점,2,술집
김돈이 본점,2,"육류,고기"
김봉남포장마차 선릉점,2,술집
김양,1,양꼬치
김영태스시앤사시미마을 강남본점,1,"초밥,롤"
김태완스시,1,일식
김태주선산곱창 강남점,1,"곱창,막창"
껠끄쇼즈,1,디저트
꽃새우영번지 역삼점,1,"해물,생선"
나따오비까 대치점,1,디저트
나무,1,술집
나주육곱식당 강남직영점,1,"곱창,막창"
나향반점,1,중화요리
난만,1,카페
남도구들한정식 본점,1,한정식
남도사계고운님,1,"해물,생선"
남산노포식당 선릉본점,1,"곱창,막창"
남원추어탕,2,"해물,생선"
낭만옵빠 선릉점,1,술집
네모오징어 선릉점,1,"해물,생선"
노가리슈퍼 선릉점,1,술집
놀란치킨 선릉점,1,치킨
농민백암순대 본점,3,순대
누구나홀딱반한닭 선릉점,1,치킨
능라도 강남점,1,냉면
니뽕내뽕 선릉점,2,퓨전요리
다노이 선릉점,1,카페
달빛보쌈 논현점,2,"족발,보쌈"
달콤한고양이 대치점,1,디저트
담뿍화로된장찌개 대치점,1,"찌개,전골"
대도식당 삼성점,3,"육류,고기"
대독장 역삼점,1,"찌개,전골"
대우부대찌개,1,"찌개,전골"
대찬횟집,1,회
대치동집,3,"육류,고기"
대치정육식당 본점,1,"육류,고기"
대파양곱창,2,"곱창,막창"
대파집,1,"육류,고기"
더차이나,1,중화요리
더차이홍 삼성점,1,중화요리
더피자스탠드,2,이탈리아음식
던킨도너츠 선릉역점,1,"제과,베이커리"
데쎄르룸,1,디저트
도마다리뼈다귀감자탕,1,한식
도원,1,중화요리
도쿄등심 선릉점,3,"육류,고기"
도쿄등심 선릉점,3,"육류,고기"
도쿄술집 선릉역점,1,술집
돈그리아,3,"육류,고기"
동대문엽기떡볶이 대치점,1,떡볶이
동래정 선릉직영점,2,"육류,고기"
동보성 강남점,2,중화요리
동해수산,2,회
동해식당,1,한식
돝고기506,1,"육류,고기"
돼지연구소 선정릉직영점,1,"육류,고기"
두레국수,3,국수
등촌샤브칼국수 선릉점,2,보양식
딸부자네불백 역삼점,1,한식
뚜레쥬르 카페선릉역점,1,"제과,베이커리"
뚝심한우 선릉역점,2,"육류,고기"
라무진 선릉역점,2,"육류,고기"
라피자노스트라,2,양식
란수사,1,일식
레드비틀,1,술집
레이어프로젝트,1,카페
로네펠트,1,카페
로브니,3,카페
로얄마카롱,1,디저트
롤리폴리꼬또,1,퓨전요리
롯데리아 선릉점,1,패스트푸드
르브런쉭 대치점,1,양식
르플로우,1,카페
리밍,1,중화요리
마구로젠,1,일식
마녀김밥 대치점,1,분식
마노디셰프 삼성점,1,이탈리아음식
마담밍 선릉점,1,중화요리
마라공방 역삼점,1,중식
마라차이즈,4,중화요리
마라테이블,3,중화요리
마부육전 선릉직영점,1,한식
마초갈비 선릉역점,1,갈비
마초야,2,"돈까스,우동"
맑은바닷가,1,일식
맘스터치 강남선릉점,1,패스트푸드
맛있는제주,2,한식
맥도날드 강남삼성DT점,1,패스트푸드
맥도날드 선릉점,2,패스트푸드
맥주를듣는사람들 아크 선릉점,1,술집
맷카페,1,카페
멍텅구리꼼장어막창 삼성동본점,1,"해물,생선"
메이크샐러드 선릉점,2,양식
멜로워 역삼더퍼스트,1,디저트
명가교동짬뽕 선릉2호점,1,중화요리
명동피자 대치점,1,이탈리아음식
명랑회관 선릉점,3,"육류,고기"
명인등심 삼성직영점,1,"육류,고기"
모리향,1,중화요리
모범떡볶이1976 선릉점,2,떡볶이
모찌방,3,디저트
몰타참치,4,참치회
몰트바 배럴,1,술집
무리무리,1,"육류,고기"
무한장어 역삼점,3,"해물,생선"
문배동육칼 삼성직영점,1,한식
문어랑 상록점,2,"해물,생선"
문어랑 상록점,2,"해물,생선"
미랑,3,"육류,고기"
미랑,3,"육류,고기"
미성양꼬치 삼성점,1,양꼬치
미쓰양꼬치,4,양꼬치
미즈호노 스시야 대치점,1,"초밥,롤"
미트앤번버거샵 강남점,2,패스트푸드
밀도 한티역점,1,"제과,베이커리"
바게트K,1,"제과,베이커리"
바나프레소 선릉역사거리점,1,카페
바나프레소 선정릉점,1,카페
바른치킨 강남선릉점,1,치킨
바스버거 선릉점,2,패스트푸드
바우한우,1,"육류,고기"
박서방순대국밥 삼성본점,1,순대
반룡산,4,냉면
반포식스 선릉역점,2,국수
배스킨라빈스 대치점,1,디저트
배스킨라빈스 선릉점,1,디저트
백수산,1,회
백운봉막국수 본점,1,국수
뱅가드와인머천트 강남점,1,술집
버거킹 선릉역점(2021년10월27일까지 휴업),1,패스트푸드
버드나무집 역삼점,2,갈비
범표원두 역삼점,1,카페
베이징코야 역삼동점,1,중식
벽돌집60-5,1,"육류,고기"
별미곳간,2,떡볶이
별양집,4,"곱창,막창"
별양집,4,"곱창,막창"
보노보노플러스 삼성점,1,"해물,생선"
보름쇠 삼성점,1,"육류,고기"
보영만두 선릉점,2,분식
복돈이가마솥순대국,1,순대
본죽 선릉역점,1,한식
본죽&비빔밥cafe 선릉점,2,퓨전요리
볼빨간딱새우,1,"해물,생선"
봉산집,1,"육류,고기"
봉우리 역삼본점,1,한정식
부산양곱창,4,"곱창,막창"
부엉이식당,1,"돈까스,우동"
부타이,1,퓨전요리
북창동순두부 선릉2호점,3,한식
분틀 선릉점,1,한식
불이아 역삼점,1,중식
붓처스컷 삼성점,1,양식
브라운돈까스 선릉점,2,"돈까스,우동"
브롱스 선릉점,1,술집
브루클린더버거조인트 삼성점,1,패스트푸드
블랙랩,3,카페
비블레스,1,카페
비야게레로,2,해외음식
비언유주얼,3,양식
빌리앤오티스,3,디저트
빌리엔젤 신라스테이점,2,디저트
빽다방 선릉역1호점,1,카페
빽다방 선릉중앙점,1,카페
뽕나무쟁이 선릉본점,3,"족발,보쌈"
사까나야바로바로 선릉점,1,"초밥,롤"
사람사는 고깃집 김일도 삼성코엑스점,1,"육류,고기"
사람사는고깃집김일도 선릉점,1,"육류,고기"
사주테라피,1,카페
살루쪼,1,이탈리아음식
삼다족발,1,"족발,보쌈"
삼미대포 선릉점,2,"육류,고기"
삼백집 역삼역점,1,국밥
삼성동커피볶는집,2,카페
삼육가 삼성역점,1,"육류,고기"
삼호복집,1,보양식
상아김밥 선릉직영점,1,분식
새집남원추어탕,1,"해물,생선"
샐러디 선릉점,3,간편식
생활맥주 선릉역점,1,술집
샤오바오우육면,4,중화요리
샹베리,4,퓨전요리
서래향,2,중화요리
선릉가든,1,"육류,고기"
선릉궁중갈비탕곰탕,1,보양식
선릉루킹래징,1,"제과,베이커리"
선릉본가 쭈꾸미와대패삼겹,1,"해물,생선"
선릉설렁탕,1,보양식
선릉순대국,2,순대
선릉양조장족발,2,"족발,보쌈"
선릉을지순대국,1,순대
설빙 선릉점,1,디저트
세광양대창 선릉점,2,"곱창,막창"
세드라,4,디저트
센도수산,3,술집
소공순대,1,순대
소라야,1,일식
쇠뚜레,1,갈비
쇼유식당,2,"해물,생선"
수다 대치점,2,술집
수다 삼성2호점,1,술집
수담한정식,1,한정식
수라선 역삼점,2,한정식
수림복국 본관,1,보양식
순남시래기 서울선릉점,1,한식
순남시래기 역삼점,1,한식
슐미랭삼 선릉점,2,"육류,고기"
스노우폭스 선릉역점,2,간편식
스미즈,1,일식
스시노스시,2,"초밥,롤"
스시류,1,일식
스시마이우 선릉역점,2,"초밥,롤"
스시산원,4,"초밥,롤"
스시소라,2,"초밥,롤"
스시쇼우키,1,일식
스시유리,1,일식
스시키,2,"초밥,롤"
스타벅스 르네상스사거리점,1,카페
스타벅스 삼성점,1,카페
스타벅스 선릉동신빌딩R점,2,카페
스타벅스 선릉로점,1,카페
스타벅스 선릉세화빌딩점,2,카페
스타벅스 선릉역점,1,카페
스타벅스 선정릉역,1,카페
시골빈대떡파전 선릉본점,1,한식
시골진지상,1,한식
시추안하우스 삼성점,1,중화요리
식물원282,1,카페
신강양꼬치 선릉점,1,양꼬치
신도세기 삼성역점,1,"육류,고기"
신도세기 선릉점,1,"육류,고기"
신동궁감자탕뼈숯불구이 선릉직영점,1,한식
신라다랑원,1,일식
신라스테이 역삼 카페,1,카페
신전떡볶이 대치점,1,떡볶이
신흥정육식당,2,"육류,고기"
싸리골,1,한식
싸프란겔,1,카페
쌍룡갈비,3,"육류,고기"
써브웨이 삼성점,1,간편식
써브웨이 선릉점,1,간편식
쏭타이 역삼점,2,해외음식
아리양,2,갈비
아야진생태찌개 본점,1,"해물,생선"
아야커피,2,카페
아오끼,1,일식
아우어베이커리 싸이더스점,1,디저트
아카라,2,술집
알로이타이,3,해외음식
애니홀,2,카페
양가식당,2,"육류,고기"
어람촌,1,"해물,생선"
어로장,3,"해물,생선"
어메이징타이,2,해외음식
어반81,2,카페
에그드랍 선릉역점,1,간편식
에드빗커피,1,카페
에슬로우커피 선릉2호점,1,카페
엔제리너스 선릉골드로즈점,1,카페
여수동촌 대치점,1,회
여수오동도,1,"해물,생선"
연,2,술집
연스시,1,"초밥,롤"
연타발 선릉점,2,"곱창,막창"
영덕물회,1,회
영동떡볶이,1,떡볶이
예천 유산균한우정육타운,1,"육류,고기"
예향,3,한정식
옛날농장,1,"육류,고기"
오더에스프레소,1,카페
오또상스시,3,"초밥,롤"
오레노 선릉점,1,술집
오마치슌,4,일식
오목집 한티점,1,"족발,보쌈"
오성식당,1,갈비
오징어청춘 대치본점,1,"해물,생선"
오징어풍경,4,"해물,생선"
오카에리,2,일식
올툰24시만화카페 선릉점,1,카페
외고집설렁탕,4,보양식
용수사,1,일식
용호낙지 강남점,1,"해물,생선"
우가네,1,국밥
우노,1,"육류,고기"
우리집,1,한식
우리집만두 선릉점,1,분식
우마쿠라,4,일식
우밀가 대치본점,2,국수
우밀가 안동국시 선릉점,1,국수
우밀면옥 상록점,1,냉면
우시야 역삼점,1,"육류,고기"
우진가 더 챔버스,1,"육류,고기"
원조광양불고기 삼성점,3,한식
원조양평해장국,1,국밥
원조한방정통삼계탕,1,보양식
유리카모메 선릉식당,1,일식
유하제과,3,디저트
육시리 선릉점,2,"육류,고기"
육시리 역삼본점,1,"육류,고기"
윤가 역삼점,1,중식
의령전원,3,"해물,생선"
이가네양꼬치 대치동점,1,양꼬치
이가네양꼬치 선릉점,1,양꼬치
이남장,1,한식
이대성의진면목,1,한식
이도곰탕 본점,1,보양식
이디야커피 선릉역점,2,카페
이백 역삼점,1,한식
이승재참치,3,참치회
이자카야나무 선릉점,1,술집
이태리부대찌개 선릉직영점,1,"찌개,전골"
이태리부대찌개 역삼GS점,1,"찌개,전골"
인기명 삼성점,1,"해물,생선"
인평일등추어탕,2,"해물,생선"
일등추어탕,1,"해물,생선"
일미리금계찜닭 선릉점,2,닭요리
일미집 강남직영점,1,한식
일일향 삼성점,1,중화요리
잇쇼우,4,"돈까스,우동"
자유참치,4,참치회
장쓰동,1,중화요리
장정정,3,일식
장진참치,2,참치회
재패니즈다이닝안심,4,일식
잭슨피자 대치점,2,이탈리아음식
잼라운지,3,술집
쟈르뎅페르뒤,1,양식
전가네손칼국수,1,국수
전봇대,2,술집
전주순대국,1,순대
전주콩나물국밥,1,국밥
전통백암순대국 삼성점,1,순대
정참치,2,참치회
정통원조한방삼계탕,1,보양식
제주몬트락 한티점,1,"육류,고기"
제주보쌈아강족발 선릉점,1,"족발,보쌈"
제주삼육돈 선릉직영점,1,"육류,고기"
제주은희네해장국 선릉직영점,3,국밥
젠제로,1,디저트
조개사냥,2,"해물,생선"
조개천국,3,"해물,생선"
조인바이트,2,퓨전요리
지구당 역삼두꺼비빌딩점,1,일식
지구당 현대타워점,1,일식
지아니스나폴리 역삼점,1,이탈리아음식
지유가오카핫초메 선릉점,2,디저트
진가와 한국본점,1,일식
진대감 삼성점,1,"육류,고기"
진대감 선릉점,3,"육류,고기"
진대감 역삼점,1,"육류,고기"
진수사,1,일식
진풍정 강남점,3,한정식
쫀득이족발,1,"족발,보쌈"
차호랑,2,한식
참치공간,2,참치회
참치공방 선릉점,2,일식
참치그라,3,참치회
창고43 역삼점,2,"육류,고기"
채린,2,중화요리
천사의섬,1,일식
천용,2,중식
청국장서갈비,4,한식
청담동장독대 김치찌개,1,"찌개,전골"
청자골,4,"육류,고기"
청춘닭볶이,4,닭요리
청춘어람,2,회
청춘화로 선릉점,1,"육류,고기"
초가집삼계탕,1,보양식
최가네버섯샤브매운탕칼국수 대치점,1,보양식
춘이네닭도리탕 동생1호선릉직영점,1,닭요리
츄라우미 역삼본점,1,"초밥,롤"
치찌중화식탁,2,중화요리
친친,1,중화요리
칠랑고,4,양식
칠백식당 삼성직영점,1,"육류,고기"
카메스시,1,"초밥,롤"
카발,4,이탈리아음식
카츠젠 선릉점,2,"돈까스,우동"
카토멘 대치본점,1,일식
카페413프로젝트,1,카페
카페그라노,2,카페
카페레꼴뜨,1,카페
카페레이어스튜디오,3,카페
카페베네 선릉역점,1,카페
카페봄,1,카페
카페인더시티,1,카페
커리146 강남점,2,해외음식
커피마마퀸 선릉점,2,카페
커피빈 선릉로86길점,1,카페
커피빈 선릉로93길점,1,카페
커피빈 선릉역3번출구세방빌딩점,1,카페
코르바니,3,이탈리아음식
코벤트가든 선릉점,3,이탈리아음식
코이라멘 한티역점,1,일식
큰돈가,1,"육류,고기"
큰입아구찜,2,"해물,생선"
클럽케이서울,1,술집
타이거슈가 삼성로점,1,카페
타코벨 선릉점,1,해외음식
탐라도야지,1,"육류,고기"
테라로사 포스코센터점,2,카페
통영집,4,회
투썸플레이스 대치선릉점,1,카페
투썸플레이스 선릉ING점,1,카페
투썸플레이스 테헤란선릉역점,2,카페
트라토리아모로,2,이탈리아음식
팀호완 삼성점,1,중식
파리바게뜨 선릉아이타워점,1,"제과,베이커리"
파리바게뜨 선릉진선점,1,"제과,베이커리"
파리바게뜨 카페선릉점,1,"제과,베이커리"
파이어벨 대치점,1,패스트푸드
파크루안 역삼점,1,중식
판동면옥,3,냉면
평가옥 삼성점,2,한식
포레스트힐링카페,1,카페
포메인 선릉역점,1,해외음식
포하임 선릉점,2,국수
풍년집 선릉점,3,"육류,고기"
플로팅 L7강남점,1,이탈리아음식
피쉬스타 역삼점,1,회
피양콩할마니 본점,1,한식
하남돼지집 선릉1호점,2,"육류,고기"
하동관 강남분점,3,보양식
하루,3,일식
하얼빈가정식 본점,2,중화요리
하오,4,중화요리
하오마라 선릉점,2,중화요리
한가네숯불닭갈비 역삼점,1,닭요리
한미옥,2,"육류,고기"
한성양갈비구이,2,갈비
한성양꼬치 선릉2호점,2,양꼬치
한솥도시락 르네상스호텔사거리점,1,분식
한앤둘치킨 선릉점,1,치킨
한죽그리고삼계탕 본점,1,보양식
할리스 선릉샹제리제점,1,카페
항아리보쌈 선릉점,1,"족발,보쌈"
해담일식,1,일식
해담채 삼성점,1,"해물,생선"
해우리 선릉L7점,1,한정식
해장옥,2,국밥
해초록 별채사랑방,1,회
해피해피케이크,2,"제과,베이커리"
행복김밥,1,분식
호또치킨 강남본점,1,치킨
호신각,1,중화요리
호타루 선릉점,1,일식
홍대포,2,"해물,생선"
홍백,2,"육류,고기"
화수사,3,일식
화포식당 선릉점,1,"육류,고기"
황금어장,2,회
황우양대창,1,"곱창,막창"
황태마을,1,"해물,생선"
후웨이즈텐카민,1,카페
후지,1,일식
흑돈가 삼성역점,1,"육류,고기"
희 카롱,1,"제과,베이커리"
히라이 선릉점,1,중화요리
