업소명,총평점,업종,url
도쿄등심 선릉점,소고기구이,4.51,1
문어랑 상록점,"해물,생선요리",4.61,36523164
농민백암순대 본점,"순대,순댓국",4.49,13149768
스시소라 대치점,일식당,4.63,32737607
FIREBELL,햄버거,4.45,35150126
OPH 센터필드점,카페,4.71,1852695287
커리146 강남점,인도음식,4.7,1623853188
코르바니,"스파게티,파스타전문",4.68,1918194979
뽕나무쟁이 선릉본점,"족발,보쌈",4.4,13468956
명품유쾌 강남본점,한식,4.99,1373609737
경천애인2237,소고기구이,4.38,32389127
외고집설렁탕,한식,4.31,12048308
수라선 역삼점,"해물,생선요리",4.38,
빅조이케이크,케이크전문,4.91,1162590202
도쿄등심 선릉점,소고기구이,4.51,1
미랑,양갈비,4.85,386982725
스시산원,"초밥,롤",4.56,34006938
피양콩할마니,한식,4.19,12017005
꽃새우 영번지 역삼점,"해물,생선요리",4.16,13792
비건비거닝,"카페,디저트",4.41,1975678801
테라로사 포스코센터점,카페,4.48,1542149931
세드라,"카페,디저트",4.56,1987286092
별양집,"곱창,막창,양",4.48,19872940
미랑,양갈비,4.85,386982725
반룡산,이북음식,4.32,12053368
더오일오브쿠엔즈버킷 센터필드점,"다이어트,샐러드",,1474798709
하동관 강남분점,"곰탕,설렁탕",4.26,12002711
진대감 선릉점,소고기구이,4.56,34590424
별양집,"곱창,막창,양",4.48,19872940
샤오바오우육면,중식당,4.25,1749145839
비언유주얼,양식,4.67,1789186517
장정정,일식당,4.54,1647747553
로그,카페,4.78,1487286336
스시키,"초밥,롤",4.63,38576093
류마,한식,4.84,1389959561
마라테이블,중식당,4.58,1351507296
칠랑고,"멕시코,남미음식",4.55,14
신동궁감자탕 선릉직영점,감자탕,4.41,18468954
오레노카츠 선릉점,돈가스,4.44,
차호랑,이북음식,4.31,1093374389
마담밍,중식당,4.44,11707122
블랙랩,양식,4.72,349045
싸리골빈대떡 본점,"전,빈대떡",4.46,38275829
일미리금계찜닭 선릉점,찜닭,4.37,36520116
코벤트가든 선릉점,이탈리아음식,4.42,1848856
바스버거 선릉점,햄버거,4.48,1797866713
자르뎅페르뒤,이탈리아음식,4.67,13150041
진풍정 강남점,한정식,4.07,11834756
지구당 선릉역점,덮밥,4.36,1828080551
단초식당 선릉점,한식,4.5,1990657993
연타발 선릉점,"곱창,막창,양",4.45,35927543
미쓰양꼬치,양꼬치,4.47,34550276
신도세기,돼지고기구이,4.25,1531802669
카페인더무드 대치점,브런치,4.4,1340882296
청자골,소고기구이,4.57,13151370
수다 대치점,이자카야,4.62,1266872356
문어랑 상록점,"해물,생선요리",4.61,36523164
김태주 선산곱창 강남점,"곱창,막창,양",4.47,1267417958
파이어벨 디어고메,햄버거,4.5,1619997362
해우리 선릉 L7점,한정식,4.28,1208870591
뚝심한우 선릉역점,소고기구이,4.43,329109717
카토멘,일본식라면,4.44,31986060
오징어풍경,한식,4.34,38407687
루프탑2018,바(BAR),4.18,1595490103
오미마리,김밥,4.9,1341330670
빌리앤오티스,베이커리,4.56,1160097068
카페 시그니처,"카페,디저트",4.39,1779291967
조개천국,조개요리,4.59,1036609613
몰타참치,생선회,4.34,11842699
스시마이우 선릉역점,"초밥,롤",4.21,16
쌍룡갈비,"육류,고기요리",4.45,1026392942
우밀면옥,냉면,4.28,1511977717
수미돈,"육류,고기요리",,1009371925
하남돼지집 선릉1호점,돼지고기구이,4.4,36444497
대도식당 삼성점,소고기구이,4.24,18448423
알로이타이,태국음식,4.47,36648833
라피자노스트라 선릉본점,이탈리아음식,4.39,33618243
로브니,"카페,디저트",4.59,1223219489
몽중헌 대치점,중식당,4.43,1894081090
김돈이 본점,돼지고기구이,4.48,19578744
청국장서갈비,"찌개,전골",4.33,31887308
센도수산,이자카야,4.65,1637529
제주은희네해장국 선릉직영점,해장국,4.31,1173
동보성 강남점,중식당,4.54,1536716586
모범떡볶이1976 선릉점,분식,4.38,1137251113
훅트포케 선릉점,퓨전음식,4.41,1887038600
오동도,생선회,4.48,13528827
하루,이자카야,4.46,13449791
명랑회관 선릉점,돼지고기구이,4.72,37408131
원조광양불고기 삼성점,"육류,고기요리",4.31,13150513
레이어스튜디오,베이커리,4.37,1683782400
별미곳간,떡볶이,4.47,1798271479
안남,베트남음식,4.46,30488654
창고43 역삼점,소고기구이,4.51,38338586
쏭타이 역삼점,태국음식,4.55,1286616903
브루커피 테헤란점,"카페,디저트",4.85,1117038107
맛있는제주,한식,4.22,38667405
멜로워 역삼 더 퍼스트,카페,4.43,1275470400
하얼빈가정식 본점,중식당,4.11,1375393271
참치공간,일식당,4.75,1535103337
샹베리,양식,4.93,37917926
전봇대,포장마차,4.58,
잭슨피자 대치점,피자,4.56,1810341907
대치동 밥술,요리주점,4.52,1072617679
참치공방 선릉점,생선회,4.42,1351749376
스윗밸런스,"다이어트,샐러드",4.55,1307433555
고운님,한식,4.34,19792920
어로장,한식,4.56,1709911487
고메갈비 선릉본점,"육류,고기요리",4.61,37072873
마초야,"우동,소바",4.46,37436116
조개사냥 역삼점,조개요리,4.7,13392779
아야커피,카페,4.51,1591951858
js가든 센터필드점,중식당,,1804495242
멘야미코 청담역점,"우동,소바",4.29,
일마지오 삼성점,이탈리아음식,4.38,34907582
두레국수,국수,4.28,18394397
초록밭,"다이어트,샐러드",4.97,1629970353
히라이,중식당,4.43,13052928
개그맨 정용국의 용곱창 강남본점,"곱창,막창,양",4.43,1228567637
델라마노 시가바,바(BAR),4.21,35524029
버닝스톤,"스테이크,립",4.51,1283139466
수타우동 겐,"우동,소바",4.37,1159445629
이자카야 나무,이자카야,4.48,33078149
우리집만두 선릉본점,만두,4.32,18576718
잇쇼우,"우동,소바",4.37,106592706
대치정육식당,정육식당,4.58,11847175
미트앤번버거샵 강남점,햄버거,4.54,128
평가옥 삼성점,냉면,4.17,12943462
청춘어람,생선회,4.63,1558231272
60년전통신촌황소곱창 선릉직영점,"곱창,막창,양",4.16,35337611
인평일등추어탕 선릉역점,추어탕,4.22,37197898
도스타코스 선릉점,"멕시코,남미음식",4.34,1905428903
이승재참치,일식당,4.68,1639596346
용호동낙지 강남직영점,낙지요리,4.21,1874679673
스시노스시,"초밥,롤",4.25,
강정희간장새우 선릉역점,"해물,생선요리",4.51,34016419
Cakery루킹래징,케이크전문,4.49,33077537
사람사는 고깃집 김일도 선릉점,"육류,고기요리",4.64,1637475096
통영집,생선회,4.26,19378213
오마이보울,"다이어트,샐러드",4.45,1543931267
참치그라,생선회,4.68,11641511
핵밥 역삼점,덮밥,4.43,1080315503
플로팅,뷔페,4.63,1002390145
우밀가 선릉점,국수,4.27,
블루문 탭하우스,"맥주,호프",4.58,1014355254
지유가오카핫초메 선릉점,케이크전문,4.6,34615854
수림복국,복어요리,4.34,18460067
고메홈,한정식,4.09,10994374
재패니즈다이닝안심,일식당,4.59,37378986
피슈마라홍탕 선릉점,중식당,4.34,1601393324
카페 난만,"카페,디저트",4.28,1177877551
연,이자카야,4.69,1570789614
사와레,와인,4.78,1098218068
신라스테이역삼 카페,뷔페,4.42,37402198
더 피자스탠드,피자,4.68,1911951171
볼빨간 딱새우 선릉점,일식당,4.71,1577187705
카페 레꼴뜨,"카페,디저트",4.44,1927057544
메이크샐러드 선릉점,"다이어트,샐러드",4.67,1926302125
써브웨이 언주역점,샌드위치,4.36,34111003
제주돈프로,돼지고기구이,4.58,1636740915
유림,닭볶음탕,4.05,1270339520
올드타운한양,"카페,디저트",4.47,1729010628
밤장어 선릉점,"장어,먹장어요리",4.67,1254308064
미태리 선릉포스코점,"스파게티,파스타전문",4.5,1251999118
우밀가 대치본점,국수,4.27,355849071
북창동순두부 선릉2호점,두부요리,4.21,11764425
해우리 역삼센터필드점,한정식,,1091658777
남도구들한정식,한정식,4.13,1013406722
스노우폭스 선릉역점,"초밥,롤",4.33,1854901876
꽃보다등심,"육류,고기요리",4.19,1938886133
이디야커피 선릉역점,카페,4.51,1608485528
메이킷 카페,"카페,디저트",4.61,1576224030
오또상스시,"초밥,롤",4.5,1722167633
더드림 선릉점,"찌개,전골",4.25,31806694
한와담 포스코센터점,소고기구이,4.16,1169374810
커피마마퀸 선릉점,카페,4.52,1044996278
배가무닭볶음탕 대치본점,닭볶음탕,4.81,1787194642
던킨 24H 선릉역점,도넛,4.45,11803565
스타벅스 선릉동신빌딩R점,카페,4.46,1858236569
홍운장,중식당,4.27,13371770
고담식당,"육류,고기요리",4.42,1422984860
분틀,국수,4.15,1619914936
삼백플러스,한식뷔페,4.56,1973586065
진티엔,"딤섬,중식만두",4.1,1152517187
스타벅스 역삼아레나빌딩점,카페,4.48,1336692632
샐러디 선릉점,"다이어트,샐러드",4.49,12067719
기세끼 선릉점,이자카야,3.98,146
선릉 순대국,"순대,순댓국",4.32,1735
Coffee Bar K,바(BAR),4.5,19882306
애니홀,이탈리아음식,4.34,37049670
이자카야나무 대치점,이자카야,4.38,33575261
중화주가 명정루,중식당,4.63,1542291051
쇼유식당,일식당,4.42,1436398475
더뭉티기,한식,4.44,1280143184
에피큐어,아이스크림,4.77,1232310413
반포식스 선릉역점,베트남음식,4.27,1546599098
윤가 양꼬치 훠궈 역삼점,양꼬치,4.64,379605792
육시리 선릉점,돼지고기구이,4.52,1823169314
로네펠트티하우스 선릉점,카페,4.39,1830149519
신흥정육식당,정육식당,4.56,1184
스몰톡커피 smalltalkcoffee,"카페,디저트",4.8,1782649507
연더그레이,요리주점,4.65,1853318526
라무진 선릉역점,양갈비,4.77,1448615379
보영만두 선릉점,분식,4.26,1900782871
화수사,일식당,4.49,13050432
그릴1492 삼성1호점,돼지고기구이,4.67,1307702580
레어마카롱,베이커리,4.85,1341791849
동해수산,생선회,4.25,1710664
동래정 선릉직영점,돼지고기구이,4.93,1347707437
군자대한곱창 선릉점,"곱창,막창,양",3.95,1002830414
잼라운지,이탈리아음식,4.72,1986034073
하오마라 선릉점,중식당,4.49,1020603768
큰돈가 선릉점,"육류,고기요리",4.38,1516506000
동촌 대치점,조개요리,4.47,11887408
홍대포,"해물,생선요리",4.52,36503966
고메고매,"육류,고기요리",4.32,11587873
춘이네닭도리탕,닭볶음탕,4.44,37870679
곰작골나주곰탕 선릉점,"곰탕,설렁탕",4.23,37997041
샤이바나 선릉포스코센터점,브런치,4.25,1244787771
예향,한식,4.17,19867464
해장옥 선릉점,해장국,4.36,1092829886
페르에피스,카페,4.48,13573782
흐비지떼,"카페,디저트",4.7,1756500261
디어무드 더모먼트,케이크전문,4.98,1901226106
슐미랭삼 선릉점,"육류,고기요리",4.64,1977837738
니뽕내뽕 선릉점,중식당,4.41,33798430
오마치슌,일식당,4.66,36667318
하오,중식당,4.23,37765569
천용,중식당,4.36,11621343
대파 양곱창,"곱창,막창,양",4.5,13465296
부산양곱창,"곱창,막창,양",4.39,37718307
우리집젤라또 대치점,아이스크림,4.66,1790143710
고반식당 선릉점,돼지고기구이,4.33,38667568
광주식당,한식,4.08,19877358
청담동마녀김밥 대치점,김밥,4.35,1112774603
앙떼띠 커피로스터리,카페,4.63,1931206028
마초갈비 선릉점,"육류,고기요리",4.41,1355523450
순남시래기 선릉점,"백반,가정식",4.39,1607767682
강남수랏간,"육류,고기요리",4.32,38274146
빌리엔젤 신라스테이점,케이크전문,4.45,36170839
삼미대포 선릉점,"육류,고기요리",4.69,1902972570
자유참치,생선회,4.44,13149976
청춘닭볶이,닭요리,4.55,32739228
희카롱,"카페,디저트",4.72,374538943
어메이징타이,태국음식,4.51,1017962619
아모르미오,"카페,디저트",,1998709899
홍콩다방 선릉점,"카페,디저트",4.38,1200109126
탄두리카,인도음식,4.52,1029502308
미풍양주,한식,4.5,1172720223
카페그라노,카페,4.49,36507580
육성급,"육류,고기요리",4.6,1275553707
서래향 선릉점,중식당,4.2,1611181
지미스 타코,"멕시코,남미음식",4.08,3158
포하임 선릉점,베트남음식,4.45,1267112584
국고집,"육류,고기요리",4.51,1135125794
풍년집 선릉점,한식,4.41,30916873
황금어장,생선회,4.43,13137410
맥도날드 선릉점,햄버거,4.37,19331864
보돌미역 강남포스코점,"백반,가정식",4.14,1800110701
사보텐 선릉역점,돈가스,4.45,33305865
인비트윈,"다이어트,샐러드",4.29,19484662
원조감자탕일미집 강남직영점,감자탕,4.02,1699940847
나능이능이버섯백숙 대치점,"백숙,삼계탕",4.55,1574481586
대치동집,돼지고기구이,4.22,15284856
토마틸로 포스코센터점,"멕시코,남미음식",4.23,1291550492
해변에서,소고기구이,4.85,1629773813
롤링핀 포스코 사거리점,베이커리,4.3,38544354
싸프란겔 선릉역점,카페,4.53,1360224523
커피빈 삼성로점,카페,4.37,30924898
선릉 한옥집,"찌개,전골",4.14,3273
72420,72420,4.56,37420628
한성마라탕 선릉점,중식당,4.61,1649747366
개나리아구찜,"아귀찜,해물찜",4.38,134988067
조선밥도둑,덮밥,4.61,1071017880
펠어커피 강남포스코사거리점,카페,4.77,1091178790
얌샘김밥 선릉역점,분식,4.35,1212217386
이태리부대찌개 선릉점,"찌개,전골",4.42,1905553
마라차이즈,중식당,4.52,1764629326
무한장어 역삼점,무한장어,3.96,38486524
해초록사랑,생선회,4.35,12819582
란콰이펑누들,한식,4.46,1476811015
카츠젠 선릉점,돈가스,4.41,1239333634
의령전원,한식,4.27,37749228
코우,일식당,4.41,1663492959
청년다방 선릉역점,분식,4.44,1976229738
스파게티스토리 대치점,스파게티스토리,4.27,36305498
긴자카레,카레,4.26,1094704999
스시히로바 삼성동본점,"초밥,롤",4.31,18457218
한성양꼬치 선릉2호점,양꼬치,4.74,1537330706
사까나야바로바로,"초밥,롤",4.29,32720642
정참치,생선회,4.48,1775501312
카발,이탈리아음식,4.26,36665270
스타벅스 선릉세화빌딩점,카페,4.48,11684150
등촌샤브칼국수 선릉점,"칼국수,만두",4.39,1404389524
본죽&비빔밥cafe 선릉점,죽,4.3,3
투썸플레이스 테헤란선릉역점,카페,4.27,37236369
우마쿠라,일식당,4.25,13275602
선향정 샤브샤브,샤브샤브,4.62,1077814867
경성양꼬치 선릉직영점,양꼬치,4.3,36241245
형제정육회관,소고기구이,4.36,18576400
나현석의해물손칼국수,"칼국수,만두",4.31,35296544
김봉남포장마차 선릉점,포장마차,4.49,36513564
세광양대창 선릉점,"곱창,막창,양",4.41,1632458472
치찌중화식탁 선릉점,중식당,4.12,1696914035
